               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.040112,            0.011639,            0.013753,             0.16476,                   0,             0.42322,             0.14075,             0.11846,             0.03049,             0.05231,            0.011024,            0.016769,             0.20483,                   0,             0.00709,             0.00709,             0.00709
                  99,             0.03888,            0.011681,            0.013943,              0.1716,                   0,             0.23113,              0.1758,             0.20742,            0.058192,            0.052745,            0.011097,            0.017026,             0.20593,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.039259,             0.01172,            0.013952,             0.16161,                   0,             0.38297,             0.17045,             0.18869,            0.052705,            0.053664,             0.01111,            0.016699,             0.18909,                   0,             0.00703,             0.00703,             0.00703
                 101,            0.038231,            0.011688,            0.013617,             0.15476,                   0,             0.38725,             0.22159,             0.23068,            0.066159,            0.053316,            0.011177,            0.017136,             0.19336,                   0,               0.007,               0.007,               0.007
                 102,            0.038157,             0.01152,             0.01356,             0.15326,                   0,              0.2964,             0.19938,             0.21636,            0.057331,            0.052275,            0.011081,            0.016718,             0.18835,                   0,             0.00697,             0.00697,             0.00697
                 103,            0.037149,            0.011478,            0.013561,             0.14213,                   0,             0.43225,             0.31856,             0.28161,            0.080972,            0.054363,            0.011053,            0.016998,             0.19153,                   0,             0.00694,             0.00694,             0.00694
                 104,            0.037796,            0.011499,            0.013707,             0.14581,                   0,             0.39529,             0.20343,              0.2259,             0.05826,            0.054025,            0.011271,            0.016791,             0.18457,                   0,             0.00691,             0.00691,             0.00691
                 105,            0.036417,            0.011455,            0.013685,             0.14212,                   0,              0.1822,              0.1572,             0.23123,            0.066126,             0.05525,            0.011079,            0.017072,             0.17578,                   0,             0.00688,             0.00688,             0.00688
                 106,            0.037836,            0.011445,             0.01367,             0.14855,                   0,             0.35286,              0.2481,             0.26073,            0.080522,            0.053182,            0.011045,            0.017111,             0.18372,                   0,             0.00685,             0.00685,             0.00685
                 107,            0.036873,            0.011423,             0.01363,             0.13461,                   0,             0.39117,             0.19655,             0.25929,            0.072699,            0.052588,            0.011066,            0.016922,             0.15662,                   0,             0.00682,             0.00682,             0.00682
