               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.021406,          0.00097188,            0.001188,           0.0089584,             0.56641,             0.60842,             0.56934,             0.21853,            0.030521,           0.0010636,           0.0012293,             0.32593,             0.00694,             0.00694,             0.00694
                 104,             0.02127,          0.00098002,             0.00114,           0.0074344,             0.60033,             0.55597,             0.55035,             0.21357,            0.030114,           0.0010678,           0.0012843,             0.32422,             0.00691,             0.00691,             0.00691
                 105,            0.021877,          0.00095517,           0.0011492,            0.010241,              0.5347,             0.60482,             0.56462,             0.21593,            0.030638,           0.0010673,           0.0012273,             0.32031,             0.00688,             0.00688,             0.00688
                 106,            0.022172,          0.00095348,           0.0011125,            0.012656,             0.65454,             0.55635,             0.56457,             0.21521,            0.032376,           0.0010447,           0.0011888,             0.33618,             0.00685,             0.00685,             0.00685
                 107,            0.021901,          0.00095494,           0.0010771,             0.01053,             0.51274,             0.62031,              0.5958,             0.23397,            0.031418,            0.001045,           0.0011568,             0.34937,             0.00682,             0.00682,             0.00682
                 108,            0.022166,           0.0009422,           0.0011436,            0.014548,             0.55417,             0.68755,             0.62339,             0.21962,            0.032756,           0.0010313,           0.0011293,             0.32666,             0.00679,             0.00679,             0.00679
                 109,            0.021443,          0.00094378,           0.0011289,           0.0071436,             0.61005,             0.68541,             0.62624,             0.24267,            0.031898,           0.0010267,           0.0011602,             0.34155,             0.00676,             0.00676,             0.00676
                 110,            0.021234,          0.00095572,           0.0011172,           0.0052775,             0.60933,             0.62608,             0.58278,             0.23061,            0.031865,           0.0010368,           0.0011735,             0.33521,             0.00673,             0.00673,             0.00673
                 111,            0.021505,          0.00093436,           0.0011076,           0.0067124,             0.61001,             0.61373,             0.58335,             0.23723,            0.030419,           0.0010663,           0.0011073,              0.3374,              0.0067,              0.0067,              0.0067
                 112,            0.021053,          0.00091908,           0.0010128,           0.0059776,              0.6139,             0.61302,             0.61685,             0.23377,            0.030171,           0.0010859,           0.0010705,             0.32764,             0.00667,             0.00667,             0.00667
                 113,            0.021428,          0.00092219,           0.0010872,            0.011682,             0.61985,             0.66752,              0.6072,             0.22191,            0.032658,           0.0010571,           0.0010895,             0.33057,             0.00664,             0.00664,             0.00664
                 114,            0.021321,          0.00093273,           0.0010544,           0.0052658,             0.61965,             0.65142,             0.62282,             0.22833,            0.033039,           0.0010348,           0.0011874,             0.33691,             0.00661,             0.00661,             0.00661
                 115,            0.020921,          0.00094827,            0.001068,           0.0073559,             0.63741,             0.63749,             0.61004,             0.23098,            0.031383,           0.0010506,           0.0012016,             0.32397,             0.00658,             0.00658,             0.00658
                 116,            0.020911,          0.00093991,           0.0010458,           0.0046726,             0.60512,             0.65787,             0.60282,             0.19161,            0.033882,           0.0010547,           0.0011508,             0.35327,             0.00655,             0.00655,             0.00655
                 117,            0.021226,          0.00092562,            0.001119,           0.0049741,             0.64737,             0.69441,             0.63383,             0.22937,            0.031892,            0.001067,            0.001097,             0.34985,             0.00652,             0.00652,             0.00652
                 118,            0.021039,          0.00093361,           0.0010353,           0.0072895,             0.64901,             0.69682,             0.66196,             0.24507,            0.031006,           0.0010791,           0.0010792,             0.33984,             0.00649,             0.00649,             0.00649
                 119,            0.020825,          0.00091801,          0.00097374,           0.0054647,             0.67374,             0.68884,             0.67458,             0.24897,            0.032492,            0.001064,           0.0010673,             0.33911,             0.00646,             0.00646,             0.00646
                 120,            0.020653,          0.00093376,          0.00098392,           0.0065893,             0.63576,             0.67928,             0.63375,             0.24199,            0.032118,           0.0010585,           0.0010455,             0.35205,             0.00643,             0.00643,             0.00643
                 121,            0.021095,          0.00091195,          0.00097007,           0.0052895,             0.62311,             0.66722,             0.64138,             0.21186,            0.034306,           0.0010402,           0.0010252,              0.3396,              0.0064,              0.0064,              0.0064
                 122,            0.021204,          0.00093561,            0.001037,           0.0050449,             0.60439,             0.67036,             0.63218,             0.23961,            0.030448,           0.0010496,           0.0010236,             0.35083,             0.00637,             0.00637,             0.00637
                 123,            0.020478,          0.00092711,           0.0009415,           0.0039098,             0.60719,             0.67364,             0.61833,             0.23483,            0.031798,           0.0010419,           0.0010174,             0.35303,             0.00634,             0.00634,             0.00634
                 124,            0.020687,          0.00092173,          0.00095296,           0.0056674,             0.58036,             0.63686,             0.61111,             0.24502,            0.031394,           0.0010456,          0.00099426,             0.34937,             0.00631,             0.00631,             0.00631
                 125,            0.020723,          0.00090204,          0.00091133,           0.0040851,             0.61643,              0.6406,             0.62822,             0.24212,            0.031951,           0.0010632,          0.00097343,             0.35547,             0.00628,             0.00628,             0.00628
                 126,            0.020126,          0.00092087,          0.00094272,           0.0063319,             0.62624,             0.67195,             0.63977,             0.24877,            0.032512,           0.0010591,          0.00095718,             0.35767,             0.00625,             0.00625,             0.00625
                 127,            0.020522,          0.00088657,          0.00091985,           0.0039044,             0.60715,             0.66209,             0.63907,             0.25771,             0.03118,           0.0010597,          0.00094093,             0.35278,             0.00622,             0.00622,             0.00622
                 128,            0.019831,          0.00089527,          0.00091566,           0.0052556,             0.62089,             0.67786,             0.63371,             0.25513,            0.032129,            0.001047,          0.00093521,             0.37329,             0.00619,             0.00619,             0.00619
                 129,            0.019772,          0.00088478,          0.00086323,            0.005235,             0.57715,             0.63344,             0.59835,             0.25694,             0.03041,           0.0010519,          0.00092514,             0.36401,             0.00616,             0.00616,             0.00616
                 130,            0.020012,          0.00090305,          0.00089446,           0.0067139,             0.59959,             0.64735,             0.63249,             0.27181,            0.031519,           0.0010475,          0.00092239,             0.38232,             0.00613,             0.00613,             0.00613
                 131,            0.020292,          0.00088822,          0.00085119,           0.0047274,             0.63378,             0.67821,             0.66553,             0.26655,             0.03225,           0.0010582,          0.00095055,             0.36499,              0.0061,              0.0061,              0.0061
                 132,            0.019839,          0.00089075,          0.00088805,           0.0052076,              0.6679,             0.64587,             0.66914,              0.2585,            0.032178,           0.0010615,           0.0009359,             0.35889,             0.00607,             0.00607,             0.00607
