               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.035375,            0.011088,            0.013516,             0.13635,                   0,             0.38429,             0.25237,             0.28496,            0.073662,             0.05364,            0.010647,            0.015195,             0.15796,                   0,             0.00661,             0.00661,             0.00661
                 115,             0.03519,            0.011088,            0.013433,             0.12479,                   0,             0.22021,             0.18011,             0.17083,            0.046452,            0.053269,            0.010758,            0.015497,             0.15869,                   0,             0.00658,             0.00658,             0.00658
                 116,            0.034749,            0.010962,            0.013424,             0.11975,                   0,             0.33709,              0.2395,             0.18647,            0.046414,            0.051066,            0.010789,            0.015445,             0.16003,                   0,             0.00655,             0.00655,             0.00655
                 117,            0.034488,            0.011104,            0.013538,             0.10634,                   0,              0.3217,              0.2634,             0.19355,            0.051538,            0.050562,            0.010836,            0.015482,             0.15222,                   0,             0.00652,             0.00652,             0.00652
                 118,            0.034683,            0.011075,            0.013588,              0.1311,                   0,             0.39492,             0.25447,              0.2521,            0.069407,            0.053572,            0.010763,            0.015872,             0.15784,                   0,             0.00649,             0.00649,             0.00649
                 119,            0.035127,            0.011036,            0.013499,              0.1192,                   0,             0.48879,             0.29945,             0.29752,            0.077238,            0.055587,            0.010645,            0.016034,             0.15344,                   0,             0.00646,             0.00646,             0.00646
                 120,            0.035813,            0.011089,            0.013609,              0.1276,                   0,             0.30715,             0.28561,             0.23961,            0.070819,            0.050936,            0.010702,            0.015543,             0.14941,                   0,             0.00643,             0.00643,             0.00643
                 121,            0.034468,            0.010963,            0.013513,             0.11422,                   0,             0.22013,             0.20739,             0.17602,            0.046847,            0.050386,            0.010786,            0.015643,             0.15137,                   0,              0.0064,              0.0064,              0.0064
                 122,            0.034494,            0.010932,            0.013426,              0.1188,                   0,             0.25419,             0.31013,              0.2438,            0.070293,            0.050862,            0.010544,            0.015408,             0.14368,                   0,             0.00637,             0.00637,             0.00637
                 123,            0.035478,            0.010907,            0.013453,             0.11316,                   0,             0.33539,             0.29742,             0.22524,            0.059279,            0.052611,            0.010563,            0.015439,             0.14648,                   0,             0.00634,             0.00634,             0.00634
                 124,            0.035223,            0.010939,            0.013604,             0.10716,                   0,             0.27148,             0.28816,             0.18382,            0.047899,            0.050466,            0.010776,            0.015335,             0.16235,                   0,             0.00631,             0.00631,             0.00631
                 125,            0.035396,            0.010908,            0.013577,              0.1058,                   0,             0.37742,             0.27746,             0.25649,            0.069033,            0.052156,            0.010778,            0.015848,             0.17981,                   0,             0.00628,             0.00628,             0.00628
